algorithm,round,train_loss,MAE,RMSE,R2,PPA
FedAvg,43,53.37207679748535,18.507299423217773,20.433685226687803,-3.6392831802368164,11.11111111111111
FedAvg,44,96.74612579345703,17.86896324157715,19.925658341735225,-3.4114651679992676,11.11111111111111
FedAvg,45,59.22266311645508,17.293758392333984,19.469887983394703,-3.2119617462158203,11.11111111111111
FedAvg,46,56.250145721435544,17.266281127929688,19.410758018569723,-3.1864171028137207,11.11111111111111
FedAvg,47,65.68836212158203,17.95922088623047,20.563466150839425,-3.69840145111084,22.22222222222222
FedAvg,48,79.68359985351563,17.27007484436035,19.69052401130665,-3.3079638481140137,22.22222222222222
FedAvg,49,46.500139236450195,18.11278533935547,20.660572425024615,-3.742880344390869,22.22222222222222
FedAvg,50,59.352090454101564,17.33104705810547,19.823453264161778,-3.3663253784179688,11.11111111111111
FedProx,1,1643.490087890625,42.0,43.05810028322197,-19.600000381469727,0.0
FedProx,2,298.11345291137695,19.680492401123047,27.80891611389569,-7.592619895935059,44.44444444444444
FedProx,3,96.90009765625,19.880332946777344,25.19491157626749,-6.0531511306762695,22.22222222222222
FedProx,4,81.20588073730468,18.17761993408203,21.670632962786584,-4.217958927154541,22.22222222222222
FedProx,5,101.46846160888671,17.691490173339844,19.84898353107274,-3.377579689025879,22.22222222222222
FedProx,6,120.183935546875,17.546092987060547,19.841652202106935,-3.3743462562561035,22.22222222222222
FedProx,7,77.31692352294922,16.07790756225586,18.10086789237,-2.6404600143432617,22.22222222222222
FedProx,8,86.95370101928711,17.632038116455078,20.06056807773804,-3.471404552459717,22.22222222222222
FedProx,9,74.69869079589844,16.456825256347656,18.646935979821105,-2.863424777984619,22.22222222222222
FedProx,10,80.18666076660156,18.208614349365234,20.660130769624107,-3.742677688598633,22.22222222222222
FedProx,11,42.29074974060059,17.24025535583496,19.64206376492329,-3.286785125732422,22.22222222222222
FedProx,12,71.26063919067383,17.629453659057617,19.998165809448313,-3.443629264831543,22.22222222222222
FedProx,13,77.95762634277344,17.39833641052246,19.331056833520027,-3.1521081924438477,0.0
FedProx,14,84.38145294189454,17.85360336303711,20.78677602162122,-3.8010005950927734,11.11111111111111
FedProx,15,71.39632720947266,17.3594913482666,19.196190869453357,-3.094374656677246,11.11111111111111
FedProx,16,83.23079147338868,16.65440559387207,18.430801881844765,-2.7743828296661377,0.0
FedProx,17,78.4778953552246,17.348848342895508,19.54556896990778,-3.24476957321167,11.11111111111111
FedProx,18,55.86221084594727,16.978008270263672,18.592774232537472,-2.8410139083862305,11.11111111111111
FedProx,19,91.8246826171875,16.61052894592285,18.306972255244634,-2.7238359451293945,0.0
FedProx,20,85.18880767822266,17.90160369873047,20.35863600682997,-3.6052675247192383,11.11111111111111
FedProx,21,54.10900459289551,16.947853088378906,18.747355770579272,-2.9051482677459717,0.0
FedProx,22,77.60577850341797,17.216407775878906,19.049358303045604,-3.031978130340576,11.11111111111111
FedProx,23,66.0909797668457,16.974706649780273,18.88593304014591,-2.9630939960479736,11.11111111111111
FedProx,24,67.51104202270508,16.618946075439453,18.22057572863197,-2.6887707710266113,0.0
FedProx,25,55.00926055908203,17.899944305419922,20.0525235003096,-3.4678187370300293,11.11111111111111
FedProx,26,58.44182815551758,17.699440002441406,19.636694272786613,-3.2844419479370117,0.0
FedProx,27,80.84019317626954,17.316858291625977,19.314153606643384,-3.144850254058838,11.11111111111111
FedProx,28,47.14375534057617,17.948856353759766,20.307019993961603,-3.5819449424743652,11.11111111111111
FedProx,29,84.9227394104004,18.145584106445312,20.45394114825047,-3.6484856605529785,11.11111111111111
FedProx,30,62.85193405151367,18.84849739074707,20.951200187737232,-3.877253532409668,11.11111111111111
FedProx,31,74.00197525024414,18.863554000854492,21.363533022721,-4.071117401123047,11.11111111111111
FedProx,32,77.27497634887695,18.162446975708008,20.377612736286803,-3.613856792449951,22.22222222222222
FedProx,33,57.03182144165039,17.909435272216797,20.080340952619242,-3.4802231788635254,11.11111111111111
FedProx,34,64.2713249206543,18.933115005493164,21.313456494298972,-4.0473713874816895,11.11111111111111
FedProx,35,74.69115142822265,17.973051071166992,19.581974756177235,-3.2605972290039062,11.11111111111111
FedProx,36,75.41708374023438,19.75255584716797,22.120831285415395,-4.437013149261475,11.11111111111111
FedProx,37,71.39645156860351,19.32140350341797,21.76369983185519,-4.262873649597168,11.11111111111111
